agent_type,temperature_c,temperature_f,concentration_pct,flooding_factor_metric,flooding_factor_imperial,source
FK-5-1-12,4.444,40,6.5,1.028385,0.0642,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,6.5,1.005959,0.0628,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,6.5,0.983534,0.0614,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,6.5,0.96271,0.0601,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,6.5,0.943487,0.0589,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,32.222,90,6.5,0.924265,0.0577,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,6.5,0.905043,0.0565,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,6.5,0.887423,0.0554,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,6.5,0.871404,0.0544,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,6.5,0.855386,0.0534,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,60.0,140,6.5,0.839367,0.0524,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,65.556,150,6.5,0.823349,0.0514,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,6.5,0.808932,0.0505,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,76.667,170,6.5,0.794516,0.0496,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,82.222,180,6.5,0.781701,0.0488,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,87.778,190,6.5,0.768886,0.048,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,93.333,200,6.5,0.756071,0.0472,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,98.889,210,6.5,0.743257,0.0464,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,104.444,220,6.5,0.732044,0.0457,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-28.889,-20,7.0,1.286283,0.0803,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,7.0,1.254246,0.0783,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,7.0,1.223811,0.0764,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,7.0,1.193376,0.0745,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,7.0,1.166144,0.0728,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,7.0,1.138913,0.0711,calculo_supresion.xlsx tabla_temperatura
